"","GeoUID","Region Name","PR_UID","province_name","vector","label","cd_value","province_value","diff_from_province","ratio_to_province"
"84","3537","Essex (CTY)","35","Ontario","v_CA16_4404","Total - Immigrant status and period of immigration for the population in private households",0.0264064869471494,0.0307911891967054,-0.00438470224955593,0.857598801347202
"85","3537","Essex (CTY)","35","Ontario","v_CA16_4437","Total - Age at immigration for the immigrant population in private households",0,1.33844022637486e-05,-1.33844022637486e-05,0
"86","3537","Essex (CTY)","35","Ontario","v_CA16_6582","4 Occupations in education, law and social, community and government services",0,3.34610056593714e-06,-3.34610056593714e-06,0
"87","3537","Essex (CTY)","35","Ontario","v_CA16_5847","Bachelor's degree or higher",0.0165181536764798,0.024420213719161,-0.00790206004268123,0.676413149632635
"88","3538","Lambton (CTY)","35","Ontario","v_CA16_1142","Gini index on adjusted household after-tax income",980,231040,-230060,0.00424168975069252
"89","3538","Lambton (CTY)","35","Ontario","v_CA16_4410","Immigrants",0,7.17552676917632e-05,-7.17552676917632e-05,0
"90","3538","Lambton (CTY)","35","Ontario","v_CA16_4875","Total visible minority population",0.155993367024637,0.153155856159316,0.00283751086532072,1.01852694984362
"91","3538","Lambton (CTY)","35","Ontario","v_CA16_4878","South Asian",0.0118051168667088,0.0101003904527572,0.00170472641395163,1.16877826871399
"92","3538","Lambton (CTY)","35","Ontario","v_CA16_4881","Chinese",0.0758054327226785,0.0828260273086421,-0.00702059458596362,0.915236854717151
"93","3538","Lambton (CTY)","35","Ontario","v_CA16_4884","Black",0.0423641819330385,0.0307997403425961,0.0115644415904425,1.37547204819934
"94","3538","Lambton (CTY)","35","Ontario","v_CA16_4887","Filipino",0.326634554643083,0.274706305317549,0.0519282493255341,1.18903187993995
"95","3538","Lambton (CTY)","35","Ontario","v_CA16_4890","Arab",0.301010739102969,0.264526723818064,0.0364840152849047,1.13792185061044
"96","3538","Lambton (CTY)","35","Ontario","v_CA16_4893","Latin American",0.00696462413139608,9.65907696700522e-05,0.00686803336172603,72.1044480252801
"97","3538","Lambton (CTY)","35","Ontario","v_CA16_4896","Southeast Asian",2.05838597599495,0.0376554542554592,2.02073052173949,54.6636872849974
"98","3538","Lambton (CTY)","35","Ontario","v_CA16_4899","West Asian",0.00035612760581175,3.39815101918505e-06,0.000352729454792565,104.800405809262
"99","3538","Lambton (CTY)","35","Ontario","v_CA16_1189","Non-official languages",0,2.19355481544768e-05,-2.19355481544768e-05,0
"100","3538","Lambton (CTY)","35","Ontario","v_CA16_1192","Indigenous languages",0,1.37561912155194e-05,-1.37561912155194e-05,0
"101","3538","Lambton (CTY)","35","Ontario","v_CA16_6087","28. Military science, leadership and operational art",0,0,0,NA
"102","3538","Lambton (CTY)","35","Ontario","v_CA16_4272","Total - Occupied private dwellings by dwelling condition",7.89639924194567e-05,0.000171022917814565,-9.20589253951083e-05,0.461715853223104
