"","GeoUID","Region Name","PR_UID","province_name","vector","label","csd_value","province_value","diff_from_province","ratio_to_province"
"60","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4410","Immigrants",0,7.17552676917632e-05,-7.17552676917632e-05,0
"61","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4875","Total visible minority population",0.191554467564259,0.153155856159316,0.0383986114049434,1.25071592016044
"62","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4878","South Asian",0.0069359445124439,0.0101003904527572,-0.00316444594031325,0.686700632503822
"63","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4881","Chinese",0.0881272949816402,0.0828260273086421,0.00530126767299807,1.06400485264425
"64","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4884","Black",0.0234598123215014,0.0307997403425961,-0.00733992802109465,0.761688639597279
"65","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4887","Filipino",0.299877600979192,0.274706305317549,0.0251712956616436,1.09162984312481
"66","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4890","Arab",0.304569563443492,0.264526723818064,0.0400428396254281,1.15137540376816
"67","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4893","Latin American",0.0592411260709914,9.65907696700522e-05,0.0591445353013214,613.320778717835
"68","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4896","Southeast Asian",12.8463892288862,0.0376554542554592,12.8087337746307,341.156134825375
"69","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4899","West Asian",0.00185230518155855,3.39815101918505e-06,0.00184890703053936,545.092072453792
"70","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_1189","Non-official languages",0,2.19355481544768e-05,-2.19355481544768e-05,0
"71","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_1192","Indigenous languages",0,1.37561912155194e-05,-1.37561912155194e-05,0
"72","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_6087","28. Military science, leadership and operational art",0,0,0,NA
"73","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4272","Total - Occupied private dwellings by dwelling condition",0,0.000171022917814565,-0.000171022917814565,0
"74","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4288","Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio",10,4425,-4415,0.00225988700564972
"75","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4311","Median value of dwellings ($)",10,1495,-1485,0.00668896321070234
"76","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4305","Total - Owner households in non-farm, non-reserve private dwellings",0,1.44997691190609e-05,-1.44997691190609e-05,0
"77","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4313","Total - Tenant households in non-farm, non-reserve private dwellings",0.000407996736026112,5.50247648620775e-05,0.000352971971164034,7.4147838168646
"78","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4263","Total - Occupied private dwellings by period of construction",0.00122399020807834,0.00173179293734836,-0.000507802729270021,0.706776301993964
"79","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_560","Median total income in 2020 among recipients ($)",15105,490720,-475615,0.0307813009455494
"80","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_566","Median after-tax income in 2020 among recipients ($)",5,22760,-22755,0.000219683655536028
"81","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_1040","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",140,200640,-200500,0.000697767145135566
"82","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_1010","LIM low-income status in 2020 for the population in private households",0.000407996736026112,0.00310332238043081,-0.0026953256444047,0.131470948232414
"83","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_1100","Adjusted after-tax family income decile group for the population in private households",0,5490,-5490,0
"84","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4404","Total - Immigrant status and period of immigration for the population in private households",0.0167278661770706,0.0307911891967054,-0.0140633230196348,0.543267948185011
"85","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_4437","Total - Age at immigration for the immigrant population in private households",0,1.33844022637486e-05,-1.33844022637486e-05,0
"86","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_6582","4 Occupations in education, law and social, community and government services",0,3.34610056593714e-06,-3.34610056593714e-06,0
"87","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_5847","Bachelor's degree or higher",0.0101999184006528,0.024420213719161,-0.0142202953185082,0.41768342070854
